Age,nat,loc,value,loc_code
0,Nationalité (catégorie) - Total,Suisse,86296,8100
1,Nationalité (catégorie) - Total,Suisse,86967,8100
2,Nationalité (catégorie) - Total,Suisse,86612,8100
3,Nationalité (catégorie) - Total,Suisse,84936,8100
4,Nationalité (catégorie) - Total,Suisse,85304,8100
5,Nationalité (catégorie) - Total,Suisse,84434,8100
6,Nationalité (catégorie) - Total,Suisse,85702,8100
7,Nationalité (catégorie) - Total,Suisse,84384,8100
8,Nationalité (catégorie) - Total,Suisse,83741,8100
9,Nationalité (catégorie) - Total,Suisse,82195,8100
10,Nationalité (catégorie) - Total,Suisse,81375,8100
11,Nationalité (catégorie) - Total,Suisse,81149,8100
12,Nationalité (catégorie) - Total,Suisse,81083,8100
13,Nationalité (catégorie) - Total,Suisse,79781,8100
14,Nationalité (catégorie) - Total,Suisse,81032,8100
15,Nationalité (catégorie) - Total,Suisse,81507,8100
16,Nationalité (catégorie) - Total,Suisse,86685,8100
17,Nationalité (catégorie) - Total,Suisse,86703,8100
18,Nationalité (catégorie) - Total,Suisse,89200,8100
19,Nationalité (catégorie) - Total,Suisse,92380,8100
20,Nationalité (catégorie) - Total,Suisse,94875,8100
21,Nationalité (catégorie) - Total,Suisse,95443,8100
22,Nationalité (catégorie) - Total,Suisse,97644,8100
23,Nationalité (catégorie) - Total,Suisse,100957,8100
24,Nationalité (catégorie) - Total,Suisse,106616,8100
25,Nationalité (catégorie) - Total,Suisse,109592,8100
26,Nationalité (catégorie) - Total,Suisse,112685,8100
27,Nationalité (catégorie) - Total,Suisse,113549,8100
28,Nationalité (catégorie) - Total,Suisse,116985,8100
29,Nationalité (catégorie) - Total,Suisse,115770,8100
30,Nationalité (catégorie) - Total,Suisse,117891,8100
31,Nationalité (catégorie) - Total,Suisse,118441,8100
32,Nationalité (catégorie) - Total,Suisse,119771,8100
33,Nationalité (catégorie) - Total,Suisse,118859,8100
34,Nationalité (catégorie) - Total,Suisse,121138,8100
35,Nationalité (catégorie) - Total,Suisse,120459,8100
36,Nationalité (catégorie) - Total,Suisse,120823,8100
37,Nationalité (catégorie) - Total,Suisse,117375,8100
38,Nationalité (catégorie) - Total,Suisse,115893,8100
39,Nationalité (catégorie) - Total,Suisse,115789,8100
40,Nationalité (catégorie) - Total,Suisse,114962,8100
41,Nationalité (catégorie) - Total,Suisse,114328,8100
42,Nationalité (catégorie) - Total,Suisse,116773,8100
43,Nationalité (catégorie) - Total,Suisse,117430,8100
44,Nationalité (catégorie) - Total,Suisse,120737,8100
45,Nationalité (catégorie) - Total,Suisse,124455,8100
46,Nationalité (catégorie) - Total,Suisse,126056,8100
47,Nationalité (catégorie) - Total,Suisse,129200,8100
48,Nationalité (catégorie) - Total,Suisse,131923,8100
49,Nationalité (catégorie) - Total,Suisse,133045,8100
50,Nationalité (catégorie) - Total,Suisse,135438,8100
51,Nationalité (catégorie) - Total,Suisse,135542,8100
52,Nationalité (catégorie) - Total,Suisse,137480,8100
53,Nationalité (catégorie) - Total,Suisse,132962,8100
54,Nationalité (catégorie) - Total,Suisse,127619,8100
55,Nationalité (catégorie) - Total,Suisse,122990,8100
56,Nationalité (catégorie) - Total,Suisse,119313,8100
57,Nationalité (catégorie) - Total,Suisse,115325,8100
58,Nationalité (catégorie) - Total,Suisse,110590,8100
59,Nationalité (catégorie) - Total,Suisse,107594,8100
60,Nationalité (catégorie) - Total,Suisse,103695,8100
61,Nationalité (catégorie) - Total,Suisse,99032,8100
62,Nationalité (catégorie) - Total,Suisse,95579,8100
63,Nationalité (catégorie) - Total,Suisse,91869,8100
64,Nationalité (catégorie) - Total,Suisse,90533,8100
65,Nationalité (catégorie) - Total,Suisse,86145,8100
66,Nationalité (catégorie) - Total,Suisse,87745,8100
67,Nationalité (catégorie) - Total,Suisse,85790,8100
68,Nationalité (catégorie) - Total,Suisse,86206,8100
69,Nationalité (catégorie) - Total,Suisse,84482,8100
70,Nationalité (catégorie) - Total,Suisse,83660,8100
71,Nationalité (catégorie) - Total,Suisse,79380,8100
72,Nationalité (catégorie) - Total,Suisse,77360,8100
73,Nationalité (catégorie) - Total,Suisse,74007,8100
74,Nationalité (catégorie) - Total,Suisse,69833,8100
75,Nationalité (catégorie) - Total,Suisse,64398,8100
76,Nationalité (catégorie) - Total,Suisse,58444,8100
77,Nationalité (catégorie) - Total,Suisse,55966,8100
78,Nationalité (catégorie) - Total,Suisse,53160,8100
79,Nationalité (catégorie) - Total,Suisse,49931,8100
80,Nationalité (catégorie) - Total,Suisse,48295,8100
81,Nationalité (catégorie) - Total,Suisse,46289,8100
82,Nationalité (catégorie) - Total,Suisse,43298,8100
83,Nationalité (catégorie) - Total,Suisse,39825,8100
84,Nationalité (catégorie) - Total,Suisse,37264,8100
85,Nationalité (catégorie) - Total,Suisse,33838,8100
86,Nationalité (catégorie) - Total,Suisse,31328,8100
87,Nationalité (catégorie) - Total,Suisse,27234,8100
88,Nationalité (catégorie) - Total,Suisse,23887,8100
89,Nationalité (catégorie) - Total,Suisse,20183,8100
90,Nationalité (catégorie) - Total,Suisse,17415,8100
91,Nationalité (catégorie) - Total,Suisse,14544,8100
92,Nationalité (catégorie) - Total,Suisse,11754,8100
93,Nationalité (catégorie) - Total,Suisse,9260,8100
94,Nationalité (catégorie) - Total,Suisse,6905,8100
95,Nationalité (catégorie) - Total,Suisse,5372,8100
96,Nationalité (catégorie) - Total,Suisse,3693,8100
97,Nationalité (catégorie) - Total,Suisse,2220,8100
98,Nationalité (catégorie) - Total,Suisse,1481,8100
99,Nationalité (catégorie) - Total,Suisse,921,8100
100,Nationalité (catégorie) - Total,Suisse,1546,8100
0,Suisse,Suisse,61993,8100
1,Suisse,Suisse,62396,8100
2,Suisse,Suisse,62239,8100
3,Suisse,Suisse,61181,8100
4,Suisse,Suisse,61885,8100
5,Suisse,Suisse,61490,8100
6,Suisse,Suisse,62419,8100
7,Suisse,Suisse,61602,8100
8,Suisse,Suisse,61394,8100
9,Suisse,Suisse,60383,8100
10,Suisse,Suisse,60209,8100
11,Suisse,Suisse,60032,8100
12,Suisse,Suisse,60680,8100
13,Suisse,Suisse,60368,8100
14,Suisse,Suisse,62163,8100
15,Suisse,Suisse,63223,8100
16,Suisse,Suisse,67837,8100
17,Suisse,Suisse,68243,8100
18,Suisse,Suisse,70116,8100
19,Suisse,Suisse,71749,8100
20,Suisse,Suisse,74229,8100
21,Suisse,Suisse,73697,8100
22,Suisse,Suisse,74764,8100
23,Suisse,Suisse,75908,8100
24,Suisse,Suisse,78771,8100
25,Suisse,Suisse,78976,8100
26,Suisse,Suisse,78773,8100
27,Suisse,Suisse,77209,8100
28,Suisse,Suisse,76930,8100
29,Suisse,Suisse,73741,8100
30,Suisse,Suisse,74063,8100
31,Suisse,Suisse,72492,8100
32,Suisse,Suisse,72681,8100
33,Suisse,Suisse,71683,8100
34,Suisse,Suisse,72833,8100
35,Suisse,Suisse,72264,8100
36,Suisse,Suisse,72631,8100
37,Suisse,Suisse,71416,8100
38,Suisse,Suisse,70411,8100
39,Suisse,Suisse,71239,8100
40,Suisse,Suisse,71538,8100
41,Suisse,Suisse,72554,8100
42,Suisse,Suisse,75892,8100
43,Suisse,Suisse,78209,8100
44,Suisse,Suisse,81810,8100
45,Suisse,Suisse,86664,8100
46,Suisse,Suisse,89026,8100
47,Suisse,Suisse,92816,8100
48,Suisse,Suisse,95833,8100
49,Suisse,Suisse,97822,8100
50,Suisse,Suisse,100690,8100
51,Suisse,Suisse,102069,8100
52,Suisse,Suisse,104180,8100
53,Suisse,Suisse,102395,8100
54,Suisse,Suisse,98898,8100
55,Suisse,Suisse,96410,8100
56,Suisse,Suisse,93855,8100
57,Suisse,Suisse,92145,8100
58,Suisse,Suisse,89504,8100
59,Suisse,Suisse,88122,8100
60,Suisse,Suisse,85575,8100
61,Suisse,Suisse,82431,8100
62,Suisse,Suisse,80258,8100
63,Suisse,Suisse,78279,8100
64,Suisse,Suisse,77798,8100
65,Suisse,Suisse,74971,8100
66,Suisse,Suisse,76347,8100
67,Suisse,Suisse,75264,8100
68,Suisse,Suisse,75860,8100
69,Suisse,Suisse,74716,8100
70,Suisse,Suisse,74321,8100
71,Suisse,Suisse,71451,8100
72,Suisse,Suisse,69005,8100
73,Suisse,Suisse,65909,8100
74,Suisse,Suisse,61873,8100
75,Suisse,Suisse,56583,8100
76,Suisse,Suisse,50360,8100
77,Suisse,Suisse,48510,8100
78,Suisse,Suisse,46414,8100
79,Suisse,Suisse,43815,8100
80,Suisse,Suisse,42978,8100
81,Suisse,Suisse,41398,8100
82,Suisse,Suisse,39077,8100
83,Suisse,Suisse,36285,8100
84,Suisse,Suisse,34237,8100
85,Suisse,Suisse,31286,8100
86,Suisse,Suisse,28955,8100
87,Suisse,Suisse,25354,8100
88,Suisse,Suisse,22319,8100
89,Suisse,Suisse,18943,8100
90,Suisse,Suisse,16410,8100
91,Suisse,Suisse,13749,8100
92,Suisse,Suisse,11104,8100
93,Suisse,Suisse,8753,8100
94,Suisse,Suisse,6577,8100
95,Suisse,Suisse,5122,8100
96,Suisse,Suisse,3492,8100
97,Suisse,Suisse,2107,8100
98,Suisse,Suisse,1428,8100
99,Suisse,Suisse,886,8100
100,Suisse,Suisse,1459,8100
0,Etranger,Suisse,24303,8100
1,Etranger,Suisse,24571,8100
2,Etranger,Suisse,24373,8100
3,Etranger,Suisse,23755,8100
4,Etranger,Suisse,23419,8100
5,Etranger,Suisse,22944,8100
6,Etranger,Suisse,23283,8100
7,Etranger,Suisse,22782,8100
8,Etranger,Suisse,22347,8100
9,Etranger,Suisse,21812,8100
10,Etranger,Suisse,21166,8100
11,Etranger,Suisse,21117,8100
12,Etranger,Suisse,20403,8100
13,Etranger,Suisse,19413,8100
14,Etranger,Suisse,18869,8100
15,Etranger,Suisse,18284,8100
16,Etranger,Suisse,18848,8100
17,Etranger,Suisse,18460,8100
18,Etranger,Suisse,19084,8100
19,Etranger,Suisse,20631,8100
20,Etranger,Suisse,20646,8100
21,Etranger,Suisse,21746,8100
22,Etranger,Suisse,22880,8100
23,Etranger,Suisse,25049,8100
24,Etranger,Suisse,27845,8100
25,Etranger,Suisse,30616,8100
26,Etranger,Suisse,33912,8100
27,Etranger,Suisse,36340,8100
28,Etranger,Suisse,40055,8100
29,Etranger,Suisse,42029,8100
30,Etranger,Suisse,43828,8100
31,Etranger,Suisse,45949,8100
32,Etranger,Suisse,47090,8100
33,Etranger,Suisse,47176,8100
34,Etranger,Suisse,48305,8100
35,Etranger,Suisse,48195,8100
36,Etranger,Suisse,48192,8100
37,Etranger,Suisse,45959,8100
38,Etranger,Suisse,45482,8100
39,Etranger,Suisse,44550,8100
40,Etranger,Suisse,43424,8100
41,Etranger,Suisse,41774,8100
42,Etranger,Suisse,40881,8100
43,Etranger,Suisse,39221,8100
44,Etranger,Suisse,38927,8100
45,Etranger,Suisse,37791,8100
46,Etranger,Suisse,37030,8100
47,Etranger,Suisse,36384,8100
48,Etranger,Suisse,36090,8100
49,Etranger,Suisse,35223,8100
50,Etranger,Suisse,34748,8100
51,Etranger,Suisse,33473,8100
52,Etranger,Suisse,33300,8100
53,Etranger,Suisse,30567,8100
54,Etranger,Suisse,28721,8100
55,Etranger,Suisse,26580,8100
56,Etranger,Suisse,25458,8100
57,Etranger,Suisse,23180,8100
58,Etranger,Suisse,21086,8100
59,Etranger,Suisse,19472,8100
60,Etranger,Suisse,18120,8100
61,Etranger,Suisse,16601,8100
62,Etranger,Suisse,15321,8100
63,Etranger,Suisse,13590,8100
64,Etranger,Suisse,12735,8100
65,Etranger,Suisse,11174,8100
66,Etranger,Suisse,11398,8100
67,Etranger,Suisse,10526,8100
68,Etranger,Suisse,10346,8100
69,Etranger,Suisse,9766,8100
70,Etranger,Suisse,9339,8100
71,Etranger,Suisse,7929,8100
72,Etranger,Suisse,8355,8100
73,Etranger,Suisse,8098,8100
74,Etranger,Suisse,7960,8100
75,Etranger,Suisse,7815,8100
76,Etranger,Suisse,8084,8100
77,Etranger,Suisse,7456,8100
78,Etranger,Suisse,6746,8100
79,Etranger,Suisse,6116,8100
80,Etranger,Suisse,5317,8100
81,Etranger,Suisse,4891,8100
82,Etranger,Suisse,4221,8100
83,Etranger,Suisse,3540,8100
84,Etranger,Suisse,3027,8100
85,Etranger,Suisse,2552,8100
86,Etranger,Suisse,2373,8100
87,Etranger,Suisse,1880,8100
88,Etranger,Suisse,1568,8100
89,Etranger,Suisse,1240,8100
90,Etranger,Suisse,1005,8100
91,Etranger,Suisse,795,8100
92,Etranger,Suisse,650,8100
93,Etranger,Suisse,507,8100
94,Etranger,Suisse,328,8100
95,Etranger,Suisse,250,8100
96,Etranger,Suisse,201,8100
97,Etranger,Suisse,113,8100
98,Etranger,Suisse,53,8100
99,Etranger,Suisse,35,8100
100,Etranger,Suisse,87,8100
0,Nationalité (catégorie) - Total,- Genève,5114,GE
1,Nationalité (catégorie) - Total,- Genève,5318,GE
2,Nationalité (catégorie) - Total,- Genève,5351,GE
3,Nationalité (catégorie) - Total,- Genève,5215,GE
4,Nationalité (catégorie) - Total,- Genève,5102,GE
5,Nationalité (catégorie) - Total,- Genève,5044,GE
6,Nationalité (catégorie) - Total,- Genève,5175,GE
7,Nationalité (catégorie) - Total,- Genève,5069,GE
8,Nationalité (catégorie) - Total,- Genève,5029,GE
9,Nationalité (catégorie) - Total,- Genève,5150,GE
10,Nationalité (catégorie) - Total,- Genève,4978,GE
11,Nationalité (catégorie) - Total,- Genève,5127,GE
12,Nationalité (catégorie) - Total,- Genève,5174,GE
13,Nationalité (catégorie) - Total,- Genève,4767,GE
14,Nationalité (catégorie) - Total,- Genève,5089,GE
15,Nationalité (catégorie) - Total,- Genève,5138,GE
16,Nationalité (catégorie) - Total,- Genève,5444,GE
17,Nationalité (catégorie) - Total,- Genève,5328,GE
18,Nationalité (catégorie) - Total,- Genève,5342,GE
19,Nationalité (catégorie) - Total,- Genève,5502,GE
20,Nationalité (catégorie) - Total,- Genève,5756,GE
21,Nationalité (catégorie) - Total,- Genève,5685,GE
22,Nationalité (catégorie) - Total,- Genève,5855,GE
23,Nationalité (catégorie) - Total,- Genève,6130,GE
24,Nationalité (catégorie) - Total,- Genève,6529,GE
25,Nationalité (catégorie) - Total,- Genève,6813,GE
26,Nationalité (catégorie) - Total,- Genève,6648,GE
27,Nationalité (catégorie) - Total,- Genève,6876,GE
28,Nationalité (catégorie) - Total,- Genève,6997,GE
29,Nationalité (catégorie) - Total,- Genève,6948,GE
30,Nationalité (catégorie) - Total,- Genève,7030,GE
31,Nationalité (catégorie) - Total,- Genève,7179,GE
32,Nationalité (catégorie) - Total,- Genève,7371,GE
33,Nationalité (catégorie) - Total,- Genève,7320,GE
34,Nationalité (catégorie) - Total,- Genève,7470,GE
35,Nationalité (catégorie) - Total,- Genève,7594,GE
36,Nationalité (catégorie) - Total,- Genève,7592,GE
37,Nationalité (catégorie) - Total,- Genève,7634,GE
38,Nationalité (catégorie) - Total,- Genève,7389,GE
39,Nationalité (catégorie) - Total,- Genève,7515,GE
40,Nationalité (catégorie) - Total,- Genève,7485,GE
41,Nationalité (catégorie) - Total,- Genève,7403,GE
42,Nationalité (catégorie) - Total,- Genève,7574,GE
43,Nationalité (catégorie) - Total,- Genève,7505,GE
44,Nationalité (catégorie) - Total,- Genève,7532,GE
45,Nationalité (catégorie) - Total,- Genève,7337,GE
46,Nationalité (catégorie) - Total,- Genève,7381,GE
47,Nationalité (catégorie) - Total,- Genève,7176,GE
48,Nationalité (catégorie) - Total,- Genève,7394,GE
49,Nationalité (catégorie) - Total,- Genève,7445,GE
50,Nationalité (catégorie) - Total,- Genève,7654,GE
51,Nationalité (catégorie) - Total,- Genève,7751,GE
52,Nationalité (catégorie) - Total,- Genève,7797,GE
53,Nationalité (catégorie) - Total,- Genève,7286,GE
54,Nationalité (catégorie) - Total,- Genève,6976,GE
55,Nationalité (catégorie) - Total,- Genève,6632,GE
56,Nationalité (catégorie) - Total,- Genève,6421,GE
57,Nationalité (catégorie) - Total,- Genève,6384,GE
58,Nationalité (catégorie) - Total,- Genève,5849,GE
59,Nationalité (catégorie) - Total,- Genève,5624,GE
60,Nationalité (catégorie) - Total,- Genève,5334,GE
61,Nationalité (catégorie) - Total,- Genève,5130,GE
62,Nationalité (catégorie) - Total,- Genève,4856,GE
63,Nationalité (catégorie) - Total,- Genève,4651,GE
64,Nationalité (catégorie) - Total,- Genève,4463,GE
65,Nationalité (catégorie) - Total,- Genève,4131,GE
66,Nationalité (catégorie) - Total,- Genève,4343,GE
67,Nationalité (catégorie) - Total,- Genève,4152,GE
68,Nationalité (catégorie) - Total,- Genève,4318,GE
69,Nationalité (catégorie) - Total,- Genève,4328,GE
70,Nationalité (catégorie) - Total,- Genève,4252,GE
71,Nationalité (catégorie) - Total,- Genève,4054,GE
72,Nationalité (catégorie) - Total,- Genève,4149,GE
73,Nationalité (catégorie) - Total,- Genève,3913,GE
74,Nationalité (catégorie) - Total,- Genève,3806,GE
75,Nationalité (catégorie) - Total,- Genève,3377,GE
76,Nationalité (catégorie) - Total,- Genève,3107,GE
77,Nationalité (catégorie) - Total,- Genève,2974,GE
78,Nationalité (catégorie) - Total,- Genève,2942,GE
79,Nationalité (catégorie) - Total,- Genève,2765,GE
80,Nationalité (catégorie) - Total,- Genève,2556,GE
81,Nationalité (catégorie) - Total,- Genève,2512,GE
82,Nationalité (catégorie) - Total,- Genève,2301,GE
83,Nationalité (catégorie) - Total,- Genève,2215,GE
84,Nationalité (catégorie) - Total,- Genève,2066,GE
85,Nationalité (catégorie) - Total,- Genève,1844,GE
86,Nationalité (catégorie) - Total,- Genève,1848,GE
87,Nationalité (catégorie) - Total,- Genève,1523,GE
88,Nationalité (catégorie) - Total,- Genève,1330,GE
89,Nationalité (catégorie) - Total,- Genève,1175,GE
90,Nationalité (catégorie) - Total,- Genève,980,GE
91,Nationalité (catégorie) - Total,- Genève,856,GE
92,Nationalité (catégorie) - Total,- Genève,714,GE
93,Nationalité (catégorie) - Total,- Genève,603,GE
94,Nationalité (catégorie) - Total,- Genève,468,GE
95,Nationalité (catégorie) - Total,- Genève,363,GE
96,Nationalité (catégorie) - Total,- Genève,260,GE
97,Nationalité (catégorie) - Total,- Genève,170,GE
98,Nationalité (catégorie) - Total,- Genève,107,GE
99,Nationalité (catégorie) - Total,- Genève,67,GE
100,Nationalité (catégorie) - Total,- Genève,128,GE
0,Suisse,- Genève,3005,GE
1,Suisse,- Genève,3009,GE
2,Suisse,- Genève,3073,GE
3,Suisse,- Genève,2956,GE
4,Suisse,- Genève,2941,GE
5,Suisse,- Genève,2979,GE
6,Suisse,- Genève,3068,GE
7,Suisse,- Genève,2918,GE
8,Suisse,- Genève,2991,GE
9,Suisse,- Genève,3133,GE
10,Suisse,- Genève,3041,GE
11,Suisse,- Genève,3196,GE
12,Suisse,- Genève,3343,GE
13,Suisse,- Genève,3138,GE
14,Suisse,- Genève,3486,GE
15,Suisse,- Genève,3495,GE
16,Suisse,- Genève,3753,GE
17,Suisse,- Genève,3715,GE
18,Suisse,- Genève,3716,GE
19,Suisse,- Genève,3854,GE
20,Suisse,- Genève,4011,GE
21,Suisse,- Genève,3888,GE
22,Suisse,- Genève,3896,GE
23,Suisse,- Genève,3989,GE
24,Suisse,- Genève,4030,GE
25,Suisse,- Genève,4042,GE
26,Suisse,- Genève,3762,GE
27,Suisse,- Genève,3721,GE
28,Suisse,- Genève,3474,GE
29,Suisse,- Genève,3226,GE
30,Suisse,- Genève,3176,GE
31,Suisse,- Genève,3072,GE
32,Suisse,- Genève,3045,GE
33,Suisse,- Genève,2950,GE
34,Suisse,- Genève,3049,GE
35,Suisse,- Genève,3141,GE
36,Suisse,- Genève,3125,GE
37,Suisse,- Genève,3189,GE
38,Suisse,- Genève,3133,GE
39,Suisse,- Genève,3257,GE
40,Suisse,- Genève,3325,GE
41,Suisse,- Genève,3385,GE
42,Suisse,- Genève,3636,GE
43,Suisse,- Genève,3741,GE
44,Suisse,- Genève,3863,GE
45,Suisse,- Genève,3889,GE
46,Suisse,- Genève,3904,GE
47,Suisse,- Genève,3907,GE
48,Suisse,- Genève,4143,GE
49,Suisse,- Genève,4212,GE
50,Suisse,- Genève,4494,GE
51,Suisse,- Genève,4612,GE
52,Suisse,- Genève,4759,GE
53,Suisse,- Genève,4452,GE
54,Suisse,- Genève,4302,GE
55,Suisse,- Genève,4064,GE
56,Suisse,- Genève,4064,GE
57,Suisse,- Genève,4101,GE
58,Suisse,- Genève,3865,GE
59,Suisse,- Genève,3702,GE
60,Suisse,- Genève,3596,GE
61,Suisse,- Genève,3521,GE
62,Suisse,- Genève,3352,GE
63,Suisse,- Genève,3337,GE
64,Suisse,- Genève,3200,GE
65,Suisse,- Genève,3018,GE
66,Suisse,- Genève,3173,GE
67,Suisse,- Genève,3096,GE
68,Suisse,- Genève,3238,GE
69,Suisse,- Genève,3216,GE
70,Suisse,- Genève,3217,GE
71,Suisse,- Genève,3132,GE
72,Suisse,- Genève,3198,GE
73,Suisse,- Genève,2987,GE
74,Suisse,- Genève,2904,GE
75,Suisse,- Genève,2512,GE
76,Suisse,- Genève,2255,GE
77,Suisse,- Genève,2192,GE
78,Suisse,- Genève,2131,GE
79,Suisse,- Genève,2010,GE
80,Suisse,- Genève,1928,GE
81,Suisse,- Genève,1895,GE
82,Suisse,- Genève,1727,GE
83,Suisse,- Genève,1702,GE
84,Suisse,- Genève,1583,GE
85,Suisse,- Genève,1463,GE
86,Suisse,- Genève,1455,GE
87,Suisse,- Genève,1220,GE
88,Suisse,- Genève,1050,GE
89,Suisse,- Genève,976,GE
90,Suisse,- Genève,819,GE
91,Suisse,- Genève,713,GE
92,Suisse,- Genève,596,GE
93,Suisse,- Genève,489,GE
94,Suisse,- Genève,396,GE
95,Suisse,- Genève,315,GE
96,Suisse,- Genève,219,GE
97,Suisse,- Genève,137,GE
98,Suisse,- Genève,97,GE
99,Suisse,- Genève,62,GE
100,Suisse,- Genève,108,GE
0,Etranger,- Genève,2109,GE
1,Etranger,- Genève,2309,GE
2,Etranger,- Genève,2278,GE
3,Etranger,- Genève,2259,GE
4,Etranger,- Genève,2161,GE
5,Etranger,- Genève,2065,GE
6,Etranger,- Genève,2107,GE
7,Etranger,- Genève,2151,GE
8,Etranger,- Genève,2038,GE
9,Etranger,- Genève,2017,GE
10,Etranger,- Genève,1937,GE
11,Etranger,- Genève,1931,GE
12,Etranger,- Genève,1831,GE
13,Etranger,- Genève,1629,GE
14,Etranger,- Genève,1603,GE
15,Etranger,- Genève,1643,GE
16,Etranger,- Genève,1691,GE
17,Etranger,- Genève,1613,GE
18,Etranger,- Genève,1626,GE
19,Etranger,- Genève,1648,GE
20,Etranger,- Genève,1745,GE
21,Etranger,- Genève,1797,GE
22,Etranger,- Genève,1959,GE
23,Etranger,- Genève,2141,GE
24,Etranger,- Genève,2499,GE
25,Etranger,- Genève,2771,GE
26,Etranger,- Genève,2886,GE
27,Etranger,- Genève,3155,GE
28,Etranger,- Genève,3523,GE
29,Etranger,- Genève,3722,GE
30,Etranger,- Genève,3854,GE
31,Etranger,- Genève,4107,GE
32,Etranger,- Genève,4326,GE
33,Etranger,- Genève,4370,GE
34,Etranger,- Genève,4421,GE
35,Etranger,- Genève,4453,GE
36,Etranger,- Genève,4467,GE
37,Etranger,- Genève,4445,GE
38,Etranger,- Genève,4256,GE
39,Etranger,- Genève,4258,GE
40,Etranger,- Genève,4160,GE
41,Etranger,- Genève,4018,GE
42,Etranger,- Genève,3938,GE
43,Etranger,- Genève,3764,GE
44,Etranger,- Genève,3669,GE
45,Etranger,- Genève,3448,GE
46,Etranger,- Genève,3477,GE
47,Etranger,- Genève,3269,GE
48,Etranger,- Genève,3251,GE
49,Etranger,- Genève,3233,GE
50,Etranger,- Genève,3160,GE
51,Etranger,- Genève,3139,GE
52,Etranger,- Genève,3038,GE
53,Etranger,- Genève,2834,GE
54,Etranger,- Genève,2674,GE
55,Etranger,- Genève,2568,GE
56,Etranger,- Genève,2357,GE
57,Etranger,- Genève,2283,GE
58,Etranger,- Genève,1984,GE
59,Etranger,- Genève,1922,GE
60,Etranger,- Genève,1738,GE
61,Etranger,- Genève,1609,GE
62,Etranger,- Genève,1504,GE
63,Etranger,- Genève,1314,GE
64,Etranger,- Genève,1263,GE
65,Etranger,- Genève,1113,GE
66,Etranger,- Genève,1170,GE
67,Etranger,- Genève,1056,GE
68,Etranger,- Genève,1080,GE
69,Etranger,- Genève,1112,GE
70,Etranger,- Genève,1035,GE
71,Etranger,- Genève,922,GE
72,Etranger,- Genève,951,GE
73,Etranger,- Genève,926,GE
74,Etranger,- Genève,902,GE
75,Etranger,- Genève,865,GE
76,Etranger,- Genève,852,GE
77,Etranger,- Genève,782,GE
78,Etranger,- Genève,811,GE
79,Etranger,- Genève,755,GE
80,Etranger,- Genève,628,GE
81,Etranger,- Genève,617,GE
82,Etranger,- Genève,574,GE
83,Etranger,- Genève,513,GE
84,Etranger,- Genève,483,GE
85,Etranger,- Genève,381,GE
86,Etranger,- Genève,393,GE
87,Etranger,- Genève,303,GE
88,Etranger,- Genève,280,GE
89,Etranger,- Genève,199,GE
90,Etranger,- Genève,161,GE
91,Etranger,- Genève,143,GE
92,Etranger,- Genève,118,GE
93,Etranger,- Genève,114,GE
94,Etranger,- Genève,72,GE
95,Etranger,- Genève,48,GE
96,Etranger,- Genève,41,GE
97,Etranger,- Genève,33,GE
98,Etranger,- Genève,10,GE
99,Etranger,- Genève,5,GE
100,Etranger,- Genève,20,GE
0,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,10,6601
1,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,10,6601
2,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,14,6601
3,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,13,6601
4,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,17,6601
5,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,17,6601
6,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,17,6601
7,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,18,6601
8,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,11,6601
9,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,20,6601
10,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,17,6601
11,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,19,6601
12,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,23,6601
13,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,16,6601
14,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,19,6601
15,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,17,6601
16,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,16,6601
17,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,12,6601
18,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,18,6601
19,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,11,6601
20,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,10,6601
21,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,13,6601
22,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,20,6601
23,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,18,6601
24,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,11,6601
25,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,14,6601
26,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,9,6601
27,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,5,6601
28,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,11,6601
29,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,4,6601
30,Nationalité (catégorie) - Total,......6601 Aire-la-Ville,12,6601
